"Date","Code","Libellé","Taux de chômage (en%)"
"T1_1982",13,"BOUCHES-DU-RHONE",8.8
"T2_1982",13,"BOUCHES-DU-RHONE",8.8
"T3_1982",13,"BOUCHES-DU-RHONE",8.9
"T4_1982",13,"BOUCHES-DU-RHONE",9.2
"T1_1983",13,"BOUCHES-DU-RHONE",9.2
"T2_1983",13,"BOUCHES-DU-RHONE",9
"T3_1983",13,"BOUCHES-DU-RHONE",8.9
"T4_1983",13,"BOUCHES-DU-RHONE",9.2
"T1_1984",13,"BOUCHES-DU-RHONE",10
"T2_1984",13,"BOUCHES-DU-RHONE",10.3
"T3_1984",13,"BOUCHES-DU-RHONE",10.6
"T4_1984",13,"BOUCHES-DU-RHONE",10.9
"T1_1985",13,"BOUCHES-DU-RHONE",11.1
"T2_1985",13,"BOUCHES-DU-RHONE",11
"T3_1985",13,"BOUCHES-DU-RHONE",11.1
"T4_1985",13,"BOUCHES-DU-RHONE",10.9
"T1_1986",13,"BOUCHES-DU-RHONE",10.8
"T2_1986",13,"BOUCHES-DU-RHONE",11.1
"T3_1986",13,"BOUCHES-DU-RHONE",11.3
"T4_1986",13,"BOUCHES-DU-RHONE",11.5
"T1_1987",13,"BOUCHES-DU-RHONE",11.6
"T2_1987",13,"BOUCHES-DU-RHONE",11.5
"T3_1987",13,"BOUCHES-DU-RHONE",11.6
"T4_1987",13,"BOUCHES-DU-RHONE",11.7
"T1_1988",13,"BOUCHES-DU-RHONE",11.6
"T2_1988",13,"BOUCHES-DU-RHONE",11.6
"T3_1988",13,"BOUCHES-DU-RHONE",11.7
"T4_1988",13,"BOUCHES-DU-RHONE",11.5
"T1_1989",13,"BOUCHES-DU-RHONE",11.3
"T2_1989",13,"BOUCHES-DU-RHONE",11.1
"T3_1989",13,"BOUCHES-DU-RHONE",11
"T4_1989",13,"BOUCHES-DU-RHONE",11
"T1_1990",13,"BOUCHES-DU-RHONE",11.2
"T2_1990",13,"BOUCHES-DU-RHONE",11.3
"T3_1990",13,"BOUCHES-DU-RHONE",11.3
"T4_1990",13,"BOUCHES-DU-RHONE",11.4
"T1_1991",13,"BOUCHES-DU-RHONE",11.3
"T2_1991",13,"BOUCHES-DU-RHONE",11.5
"T3_1991",13,"BOUCHES-DU-RHONE",11.8
"T4_1991",13,"BOUCHES-DU-RHONE",12.2
"T1_1992",13,"BOUCHES-DU-RHONE",12.6
"T2_1992",13,"BOUCHES-DU-RHONE",12.8
"T3_1992",13,"BOUCHES-DU-RHONE",13.2
"T4_1992",13,"BOUCHES-DU-RHONE",13.5
"T1_1993",13,"BOUCHES-DU-RHONE",13.7
"T2_1993",13,"BOUCHES-DU-RHONE",14.1
"T3_1993",13,"BOUCHES-DU-RHONE",14.5
"T4_1993",13,"BOUCHES-DU-RHONE",14.7
"T1_1994",13,"BOUCHES-DU-RHONE",14.9
